pdf_file_name,block_coverage,is corupted
pdftc_010k_1287.xml,7.733931851,
pdftc_010k_0275.xml,7.734748011,
pdftc_010k_0345.xml,7.734748011,
pdftc_010k_0349.xml,7.735564171,
pdftc_010k_0374.xml,7.735564171,
pdftc_010k_0429.xml,7.735564171,
pdftc_010k_1236.xml,7.735564171,
pdftc_010k_0331.xml,7.736380331,
pdftc_010k_0348.xml,7.736380331,
pdftc_010k_0380.xml,7.736380331,
pdftc_010k_1239.xml,7.736380331,
pdftc_010k_0393.xml,7.737196491,
pdftc_010k_0395.xml,7.737196491,
pdftc_010k_0363.xml,7.73801265,
pdftc_010k_1205.xml,7.73801265,
pdftc_010k_0371.xml,7.73882881,
pdftc_010k_0340.xml,7.73964497,
pdftc_010k_0440.xml,7.73964497,
pdftc_010k_1278.xml,7.73964497,
pdftc_010k_0346.xml,7.74127729,
pdftc_100k_0173.xml,7.74209345,
pdftc_100k_0509.xml,7.74209345,
pdftc_010k_1282.xml,7.74290961,
pdftc_010k_1288.xml,7.74290961,
pdftc_010k_0035.xml,7.74454193,
pdftc_010k_1273.xml,7.74454193,
pdftc_010k_0397.xml,7.74617425,
pdftc_010k_0372.xml,7.74699041,
pdftc_010k_0376.xml,7.74699041,
pdftc_010k_0438.xml,7.74699041,
pdftc_010k_0378.xml,7.74780657,
pdftc_010k_0356.xml,7.74943889,
pdftc_010k_0385.xml,7.75025505,
pdftc_010k_0399.xml,7.75025505,
pdftc_010k_1271.xml,7.75025505,
pdftc_010k_1969.xml,7.75025505,
pdftc_010k_0253.xml,7.75107121,
pdftc_010k_1253.xml,7.75107121,
pdftc_010k_0370.xml,7.75188737,
pdftc_010k_0350.xml,7.75433585,
pdftc_010k_1894.xml,7.75433585,
pdftc_100k_0090.xml,7.75433585,
pdftc_100k_1957.xml,7.75433585,
pdftc_010k_0330.xml,7.75596817,
pdftc_010k_1320.xml,7.75596817,
pdftc_010k_0078.xml,7.75678433,
pdftc_010k_2065.xml,7.75678433,
pdftc_010k_0353.xml,7.75760049,
pdftc_010k_0375.xml,7.75760049,
pdftc_010k_0335.xml,7.76004897,
pdftc_010k_0410.xml,7.76086513,
pdftc_010k_0487.xml,7.76086513,
pdftc_100k_0036.xml,7.76086513,
pdftc_010k_0369.xml,7.76168129,
pdftc_010k_0518.xml,7.76168129,
pdftc_010k_0390.xml,7.76249745,
pdftc_010k_1189.xml,7.76249745,
pdftc_010k_2069.xml,7.763313609,
pdftc_100k_0045.xml,7.763313609,
pdftc_100k_2119.xml,7.763313609,
pdftc_010k_0444.xml,7.764129769,
pdftc_010k_1811.xml,7.767394409,
pdftc_010k_0365.xml,7.768210569,
pdftc_010k_2078.xml,7.769026729,
pdftc_010k_0323.xml,7.769842889,
pdftc_100k_0102.xml,7.771475209,
pdftc_100k_0110.xml,7.771475209,
pdftc_100k_0035.xml,7.773107529,
pdftc_010k_0411.xml,7.773923689,
pdftc_010k_0605.xml,7.773923689,
pdftc_010k_1248.xml,7.773923689,
pdftc_100k_0057.xml,7.775556009,
pdftc_010k_0333.xml,7.776372169,
pdftc_010k_0394.xml,7.778004489,
pdftc_010k_0601.xml,7.779636809,
pdftc_010k_0659.xml,7.779636809,
pdftc_010k_0016.xml,7.780452969,
pdftc_010k_1259.xml,7.780452969,
pdftc_010k_0464.xml,7.781269129,
pdftc_100k_1183.xml,7.781269129,
pdftc_010k_0430.xml,7.782085289,
pdftc_010k_0646.xml,7.782085289,
pdftc_010k_0652.xml,7.782085289,
pdftc_100k_1937.xml,7.782085289,
pdftc_010k_0360.xml,7.782901449,
pdftc_010k_0381.xml,7.783717609,
pdftc_010k_0665.xml,7.783717609,
pdftc_010k_0631.xml,7.785349929,
pdftc_010k_0419.xml,7.786166089,
pdftc_010k_0541.xml,7.786166089,
pdftc_010k_1869.xml,7.786166089,
pdftc_010k_0456.xml,7.787798408,
pdftc_010k_1975.xml,7.787798408,
pdftc_010k_0396.xml,7.788614568,
pdftc_010k_0587.xml,7.788614568,
pdftc_010k_0476.xml,7.789430728,
pdftc_010k_0443.xml,7.790246888,
pdftc_010k_0479.xml,7.790246888,
pdftc_010k_0515.xml,7.790246888,
pdftc_010k_0527.xml,7.790246888,
pdftc_010k_0537.xml,7.790246888,
pdftc_010k_0563.xml,7.790246888,
pdftc_010k_0403.xml,7.791063048,
pdftc_010k_0409.xml,7.791063048,
pdftc_010k_0551.xml,7.791063048,
pdftc_010k_1274.xml,7.791063048,
pdftc_010k_0405.xml,7.791879208,
pdftc_010k_0474.xml,7.791879208,
pdftc_010k_0545.xml,7.791879208,
pdftc_010k_1069.xml,7.791879208,
pdftc_100k_1247.xml,7.791879208,
pdftc_010k_0463.xml,7.792695368,
pdftc_010k_0620.xml,7.792695368,
pdftc_010k_0480.xml,7.793511528,
pdftc_010k_0622.xml,7.793511528,
pdftc_010k_0576.xml,7.794327688,
pdftc_010k_0641.xml,7.794327688,
pdftc_010k_0368.xml,7.795143848,
pdftc_010k_0377.xml,7.795143848,
pdftc_010k_0496.xml,7.795143848,
pdftc_010k_0600.xml,7.795143848,
pdftc_010k_0651.xml,7.795143848,
pdftc_010k_1365.xml,7.795143848,
pdftc_010k_0508.xml,7.795960008,
pdftc_010k_0529.xml,7.795960008,
pdftc_010k_0542.xml,7.795960008,
pdftc_010k_1162.xml,7.795960008,
pdftc_010k_1270.xml,7.795960008,
pdftc_010k_0386.xml,7.796776168,
pdftc_010k_0425.xml,7.796776168,
pdftc_010k_0504.xml,7.796776168,
pdftc_010k_0584.xml,7.796776168,
pdftc_010k_1275.xml,7.796776168,
pdftc_010k_0392.xml,7.797592328,
pdftc_010k_0432.xml,7.797592328,
pdftc_010k_0446.xml,7.797592328,
pdftc_010k_0509.xml,7.797592328,
pdftc_010k_0546.xml,7.797592328,
pdftc_010k_0557.xml,7.797592328,
pdftc_010k_0606.xml,7.797592328,
pdftc_010k_0681.xml,7.797592328,
pdftc_010k_0470.xml,7.798408488,
pdftc_010k_0593.xml,7.798408488,
